店名,住所,経度,緯度,回収しているごみの種類,リンク
フードスクエア（カスミ学園店）,茨城県つくば市竹園２丁目１２−１
ジェーソン（つくば竹園店）,茨城県つくば市竹園２丁目８−１８
ヨークベニマル（つくば竹園店）,茨城県つくば市竹園１丁目３−１
Seiyu（つくば竹園店）,茨城県つくば市竹園１丁目９−２
ロビア（トナリエクレオ店）,茨城県つくば市吾妻１丁目７−１ トナリエクレオ １階
プルシェ（つくばキュート店）,茨城県つくば市吾妻1-6-1 トナリエつくばスクエア キュート1F,140.111208,36.081491,,
グラン・プルシェ（LALAガーデンつくば内）,茨城県つくば市小野崎字千駄苅278-1,140.102645,36.073619,食品トレー；牛乳パック；ペットボトル；透明容器；アルミ缶,https://www.kasumi.co.jp/tenpotop/ibaraki-south/tsukuba/287/
とりせん（研究学園店）,茨城県つくば市小野崎千駄苅２７８ １
フードスクエア（つくばスタイル店-イーアスつくば内）,茨城県つくば市研究学園5丁目19番,140.083988,36.085502,食品トレー；牛乳パック；ペットボトル；透明容器；アルミ缶,https://www.kasumi.co.jp/tenpotop/ibaraki-south/tsukuba/290/
タイヨー（学園の森店）, 茨城県つくば市学園の森２丁目１４−３
業務スーパー（つくば学園の森店）,茨城県つくば市学園の森２丁目１４−４４
フードスクエア（カスミ学園の森店）,茨城県つくば市学園の森２丁目３４−４
スーパーセンタートライアル（学園都市店）,茨城県つくば市学園の森３丁目１２番地６
カスミ（筑波大学店）,茨城県つくば市天久保３−１−１０
フードスクエアカスミ（テクノパーク桜店）,茨城県つくば市桜1-22
ジェーソン（つくば桜店）,茨城県つくば市桜２丁目５１−２
スーパーまるも（学園店）,茨城県つくば市桜３丁目５−２
ヨークベニマル（つくばさくらの杜店）,茨城県つくば市さくらの森25番地5
フードスクエアカスミ（大穂店）,茨城県つくば市筑穂１丁目１５−６
TAIRAYA（つくば大穂店）,茨城県つくば市筑穂2-6-7
カスミ（筑波店）,茨城県つくば市北条５１５０−１１
Hanamasa Plus+（つくば店）,茨城県つくば市手代木上谷原３０９−７
TAIRAYA（松代店）,茨城県つくば市松代4-19-1
フレッシュやおかね,茨城県つくば市二の宮３丁目２４−１３
ヨークベニマル（豊里店）,茨城県つくば市豊里の杜２丁目１−１
染谷商店,茨城県つくば市島名５４４
カスミ（万博記念公園駅前店）,茨城県つくば市島名 福田坪土地区画整理地４８
タイヨー（ビッグハウスみどりの店）,茨城県つくば市みどりの２丁目３９−１
カスミ（みどりの駅前店）,茨城県つくば市みどりの１丁目３−１
フードスクエアカスミライフガーデン（みどりの店）,茨城県つくば市みどりの中央１１−５
シティマーケット うおまつ（本店）,茨城県つくば市上横場２２１６−１
マスダ（茎崎店）,茨城県つくば市高見原1-1-16
FOOD OFFストッカー（牛久ししこ店）,茨城県つくば市高見原1丁目3番地10
TAIRAYA（並木店）,茨城県つくば市並木4-4-2
カスミ（梅園店-レプサモールつくば内）,茨城県つくば市下原380-5,140.137569,36.050570,食品トレー；牛乳パック；ペットボトル；透明容器；アルミ缶,https://www.kasumi.co.jp/tenpotop/ibaraki-south/tsukuba/288/
